,MEMORY,REWARD,COGNITIVE,MOVEMENT,VISION,HEARING
right_middle_temporal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,1.0
right_middle_temporal_gyrus_temporooccipital_part,0.0,0.0,0.0,0.0,1.0,0.0
right_inferior_temporal_gyrus_anterior_division,1.0,0.0,0.0,0.0,0.0,0.0
right_inferior_temporal_gyrus_posterior_division,1.0,0.0,0.0,0.0,0.0,0.0
right_inferior_temporal_gyrus_temporooccipital_part,0.0,0.0,0.0,0.0,1.0,0.0
right_postcentral_gyrus,0.0,0.0,0.0,0.0,1.0,0.0
right_superior_parietal_lobule,0.0,0.0,0.0,0.0,1.0,0.0
right_supramarginal_gyrus_anterior_division,0.0,0.0,0.0,0.0,1.0,0.0
right_supramarginal_gyrus_posterior_division,0.0,0.0,0.0,0.0,1.0,0.0
right_angular_gyrus,0.0,0.0,0.0,0.0,1.0,0.0
right_lateral_occipital_cortex_superior_division,0.0,0.0,0.0,0.0,1.0,0.0
right_lateral_occipital_cortex_inferior_division,0.0,0.0,0.0,0.0,1.0,0.0
right_intracalcarine_cortex,0.0,0.0,0.0,0.0,1.0,0.0
right_frontal_medial_cortex,0.0,1.0,0.0,0.0,0.0,0.0
right_supplementary_motor_cortex,0.0,0.0,0.0,0.0,1.0,0.0
right_subcallosal_cortex,0.0,1.0,0.0,0.0,0.0,0.0
right_paracingulate_gyrus,0.0,0.0,1.0,0.0,0.0,0.0
right_cingulate_gyrus_anterior_division,0.0,0.0,1.0,0.0,0.0,0.0
right_cingulate_gyrus_posterior_division,0.0,0.0,1.0,0.0,0.0,0.0
right_precuneous_cortex,0.0,0.0,0.0,0.0,1.0,0.0
right_cuneal_cortex,0.0,0.0,0.0,0.0,1.0,0.0
right_frontal_orbital_cortex,0.0,0.0,1.0,0.0,0.0,0.0
right_parahippocampal_gyrus_anterior_division,1.0,0.0,0.0,0.0,0.0,0.0
right_parahippocampal_gyrus_posterior_division,1.0,0.0,0.0,0.0,0.0,0.0
right_lingual_gyrus,0.0,0.0,0.0,0.0,1.0,0.0
right_temporal_fusiform_cortex_anterior_division,1.0,0.0,0.0,0.0,0.0,0.0
right_temporal_fusiform_cortex_posterior_division,1.0,0.0,0.0,0.0,0.0,0.0
right_temporal_occipital_fusiform_cortex,0.0,0.0,0.0,0.0,1.0,0.0
right_occipital_fusiform_gyrus,0.0,0.0,0.0,0.0,1.0,0.0
right_frontal_operculum_cortex,0.0,0.0,1.0,0.0,0.0,0.0
right_central_opercular_cortex,0.0,0.0,0.0,0.0,0.0,1.0
right_parietal_operculum_cortex,0.0,0.0,0.0,0.0,0.0,1.0
right_planum_polare,0.0,0.0,0.0,0.0,0.0,1.0
right_heschls_gyrus,0.0,0.0,0.0,0.0,0.0,1.0
right_planum_temporale,0.0,0.0,0.0,0.0,0.0,1.0
right_supracalcarine_cortex,0.0,0.0,0.0,0.0,1.0,0.0
right_occipital_pole,0.0,0.0,0.0,0.0,1.0,0.0
right_thalamus,0.0,0.0,1.0,0.0,0.0,0.0
right_caudate,0.0,0.0,1.0,0.0,0.0,0.0
right_putamen,0.0,0.0,1.0,0.0,0.0,0.0
right_pallidum,0.0,0.0,1.0,0.0,0.0,0.0
right_hippocampus,1.0,0.0,0.0,0.0,0.0,0.0
right_amygdala,1.0,0.0,0.0,0.0,0.0,0.0
right_accumbens,0.0,1.0,0.0,0.0,0.0,0.0
right_brainstem,1.0,0.0,0.0,0.0,0.0,0.0
right_iiv,0.0,0.0,0.0,1.0,0.0,0.0
right_v,0.0,0.0,0.0,0.0,1.0,0.0
right_vi,0.0,0.0,0.0,0.0,1.0,0.0
right_viib,0.0,0.0,0.0,1.0,0.0,0.0
right_viiia,0.0,0.0,0.0,1.0,0.0,0.0
right_viiib,0.0,0.0,0.0,1.0,0.0,0.0
right_ix,0.0,0.0,0.0,1.0,0.0,0.0
right_x,0.0,0.0,0.0,1.0,0.0,0.0
right_crus_i,0.0,0.0,0.0,0.0,1.0,0.0
right_crus_ii,0.0,0.0,0.0,1.0,0.0,0.0
right_vermis_crus_i,0.0,0.0,0.0,1.0,0.0,0.0
right_vermis_crus_ii,0.0,0.0,0.0,1.0,0.0,0.0
right_vermis_vi,0.0,0.0,0.0,1.0,0.0,0.0
right_vermis_viib,0.0,0.0,0.0,1.0,0.0,0.0
right_vermis_viiia,0.0,0.0,0.0,1.0,0.0,0.0
right_vermis_viiib,0.0,0.0,0.0,1.0,0.0,0.0
right_vermis_ix,0.0,0.0,0.0,1.0,0.0,0.0
right_vermis_x,0.0,0.0,0.0,1.0,0.0,0.0
