CLUSTER,TOKEN,R
1,reward,0.1800493383262851
1,valence,0.15307834331521997
1,reward_processing,0.1418680501451186
1,memory,0.14186731541701206
1,arousal,0.14103107742024368
1,emotion,0.13993781422894286
1,fear,0.13356619439673756
1,anticipation,0.12898379373369506
1,reward_anticipation,0.12785102390121098
1,declarative_memory,0.1269367703508792
1,episodic_memory,0.11614273252048671
1,remembering,0.11547535263395259
1,emotional_memory,0.11254848093053191
1,recognition_memory,0.10958865647786961
1,facial_expression,0.1067428394650764
1,salience,0.10630908218885916
1,autobiographical_memory,0.10602611184171376
1,monetary_incentive_delay_task,0.10553624852272202
1,episodic_simulation,0.10507745276344845
1,picture,0.09860143779283348
1,negative_emotion,0.09790562166639152
1,source_memory,0.09675460430396571
1,encoding,0.09538357488161847
1,recall,0.09467761853021536
1,taste,0.0935292893200717
2,manipulation,0.12584085728623828
2,retrieval,0.12096372103726073
2,reaction_time,0.1199871218697182
2,covert,0.11262615308895824
2,strategy,0.11246866163348668
2,monitoring,0.10631117324247645
2,memory,0.1059698541007114
2,goal,0.1057320287742517
2,cognitive_process,0.10559697554493519
2,execution,0.10459261413221684
2,attention,0.10328462067624025
2,rehearsal,0.10273236862216266
2,remembering,0.10168444588395917
2,working_memory,0.09920697538732658
2,familiarity,0.09727086201229632
2,word,0.09384831501732754
2,judgment,0.09317434423383009
2,spatial_attention,0.09119451545650914
2,context,0.09034459858180574
2,memory_retrieval,0.09025530963977088
2,encoding,0.08875141825381888
2,visual_attention,0.08762049653364648
2,imagination,0.0875895990393146
2,representation,0.08683124129399358
2,action,0.08659348186020865
3,motor_control,0.13566361930151233
3,motor_learning,0.11253841286965544
3,movement,0.11042282264836457
3,ataxia,0.10170271406309622
3,coordination,0.09438199910721776
3,execution,0.0916936220785356
3,arm,0.08649563673730504
3,tapping_task,0.08390581049919073
3,motor_sequence_learning,0.0833136199728386
3,rest,0.08149389635764707
3,foot,0.07604644122418676
3,motor_activity,0.06869199047424282
3,finger_tapping,0.06768192204182857
3,leg,0.06767444479602991
3,skill_acquisition,0.06631827989964742
3,capsaicinevoked_pain,0.06503761965286128
3,articulatory_rehearsal,0.06486812909327622
3,hand,0.06309075472746191
3,vection,0.0620517960451214
3,phonological_loop,0.06099952735534051
3,imagination,0.0593472672684777
3,motor_planning,0.05862706790360625
3,planning,0.058473533931911084
3,sequence_learning,0.05514609753757985
3,flexion,0.05457581078630391
4,speech,0.24905998012190028
4,hearing,0.23890185415456547
4,listening,0.233502212161118
4,speech_perception,0.2227765484452818
4,speech_processing,0.22033783814597518
4,tone,0.1749580250300983
4,language,0.1730764782790849
4,music,0.16609967556831218
4,syllable,0.16174239072677155
4,passive_listening,0.16071214105046522
4,language_processing,0.1580191955456942
4,speech_production,0.15566107628785686
4,melody,0.15395029438393487
4,auditory_perception,0.1524504709770138
4,prosody,0.14176191459966483
4,intonation,0.13498729090649858
4,audition,0.12828733640522394
4,pitch_discrimination,0.12506064311097836
4,language_comprehension,0.1237335274834145
4,articulation,0.11620870062102233
4,semantic_processing,0.11398474331187461
4,word,0.11355400594776464
4,phonetics,0.11192134430404543
4,syntax,0.11000792519791833
4,semantics,0.10786926021808221
