CLUSTER,TOKEN,R,ROC_AUC
1,motor_control,0.1041313307275771,0.5817486090198927
1,ataxia,0.08929402655082949,0.5817486090198927
1,motor_learning,0.08851643060004563,0.5817486090198927
1,movement,0.08083863690148076,0.5817486090198927
1,coordination,0.07905528709299504,0.5817486090198927
2,retrieval,0.11255997182107437,0.6339795838276006
2,memory,0.11108915828649148,0.6339795838276006
2,remembering,0.10340062599676768,0.6339795838276006
2,manipulation,0.09921601629169716,0.6339795838276006
2,context,0.09708122856799042,0.6339795838276006
2,familiarity,0.09582718464192848,0.6339795838276006
2,strategy,0.09122658706387753,0.6339795838276006
2,episodic_simulation,0.08995458821076391,0.6339795838276006
2,word,0.08977768968812269,0.6339795838276006
2,goal,0.08919743267840183,0.6339795838276006
2,covert,0.08905609981171883,0.6339795838276006
2,monitoring,0.08766925054512847,0.6339795838276006
2,rehearsal,0.08678817950507811,0.6339795838276006
2,source_memory,0.0866598316509512,0.6339795838276006
2,memory_retrieval,0.08553396792568396,0.6339795838276006
2,encoding,0.0846218018775656,0.6339795838276006
2,judgment,0.08455852449271545,0.6339795838276006
2,imagination,0.08422646930563699,0.6339795838276006
2,semantic_processing,0.08414232803725162,0.6339795838276006
2,recognition,0.0832714670273171,0.6339795838276006
2,episodic_memory,0.08198626991391972,0.6339795838276006
2,reaction_time,0.08015629630960437,0.6339795838276006
2,cognitive_process,0.08015467160708681,0.6339795838276006
2,language,0.08001554819599396,0.6339795838276006
2,autobiographical_memory,0.07938471686252904,0.6339795838276006
