CLUSTER,TOKEN,R
1,execution,0.17343063370050626
1,working_memory,0.1505915574166219
1,manipulation,0.1440059468246206
1,hand,0.13958624163365724
1,rehearsal,0.12967074248084318
1,attention,0.1262879168749979
1,reaction_time,0.12583740443932556
1,action,0.12442635885750292
1,spatial_attention,0.12299419135066109
1,movement,0.12067587283942424
1,strategy,0.11873567213123987
1,covert,0.11806607801305577
1,monitoring,0.11680363566835333
1,grasping,0.11501168499567507
1,representation,0.11483364768635382
1,response_selection,0.11466744588544187
1,cognitive_process,0.11029217806641936
1,grasp,0.10976123432134648
1,mental_representation,0.1097576691337171
1,goal,0.10870371073762046
1,spatial_working_memory,0.10725840453291448
1,planning,0.10718065344396738
1,intention,0.10564010650668576
1,preparation,0.10493720968147245
1,target,0.10197916382813363
2,memory,0.20714497878541654
2,episodic_memory,0.18369279155180934
2,declarative_memory,0.16941678739836452
2,recognition_memory,0.16739909216976862
2,retrieval,0.16481085841727827
2,remembering,0.16363932489509422
2,encoding,0.15104642377138855
2,recognition,0.1492543655245313
2,recall,0.13857451851933436
2,familiarity,0.1322708525036917
2,source_memory,0.12437297423480659
2,memory_process,0.12353213450327323
2,encoding_task,0.12351824977517681
2,autobiographical_memory,0.1225573486430509
2,episodic_simulation,0.12132073252200401
2,semantic_memory,0.12109271047324169
2,spatial_memory,0.11887825303636801
2,picture,0.11838431807640112
2,forgetting,0.11426153201949535
2,emotional_memory,0.11207311714545834
2,memory_retrieval,0.10921360512502466
2,remote_memory,0.10866557648024432
2,longterm_memory,0.10779685298402827
2,cognitive_map,0.10730233189089611
2,navigation,0.10462830306108087
3,motor_control,0.1502206604546238
3,movement,0.13020696013703642
3,motor_learning,0.12363145396645575
3,execution,0.12177763522612504
3,coordination,0.0977964485226166
3,motor_sequence_learning,0.09071493644683132
3,arm,0.08795516016349228
3,hand,0.08594132297905771
3,motor_planning,0.08222234731109057
3,ataxia,0.07835693956009368
3,tapping_task,0.07625298948922972
3,rest,0.0737625572692239
3,motor_activity,0.07266602277487624
3,skill,0.07205654720590769
3,skill_acquisition,0.07142383805363796
3,imagination,0.07121133918949446
3,rehearsal,0.06917751619669099
3,articulatory_rehearsal,0.06872925089020647
3,finger_tapping,0.06838820332696241
3,planning,0.06808813651107477
3,phonological_loop,0.06791450037254251
3,imagery,0.06622191977002817
3,covert,0.06392686021070042
3,sequence_learning,0.063823948275704
3,foot,0.06353203417011674
4,articulatory_rehearsal,0.052413052632322814
4,foot,0.04737234994327416
4,coordination,0.04622116044497077
4,vection,0.04610336567522728
4,ataxia,0.04541593604139581
4,drawing_paradigm,0.04523987630015882
4,auditory_temporal_discrimination_task,0.04523987630015807
4,motor_control,0.044296767010791036
4,chemical_sensation,0.04314976793651486
4,intensity_somatosensory_stimulation,0.04314976793651477
4,isometric_force,0.04001035336604498
4,tapping_task,0.03993387352475404
4,rest,0.03842529290903625
4,know_task,0.03823617162495303
4,capsaicinevoked_pain,0.03725035717052324
4,rest_paradigm,0.03659212477897224
4,metacognitive_skill,0.03659212477897216
4,judging,0.036213950142855895
4,forward_digit_span_task,0.03607550123625062
4,block_tapping_test,0.036075501236250605
4,air_hunger,0.03581235898253075
4,visual_pursuit,0.03543433423627489
4,arm,0.03520153144476403
4,phonological_loop,0.03489192792817096
4,eye,0.0328033636240167
5,monitoring,0.13048931793446586
5,arousal,0.12527255445577368
5,decision_making,0.11682290089727396
5,anticipation,0.1102936389420937
5,reward,0.10830270934942457
5,valence,0.10457663336179518
5,cognitive_control,0.10273076615238905
5,error_detection,0.098083239753161
5,salience,0.09680481360794846
5,reaction_time,0.095996382497333
5,cognitive_process,0.09371801608093941
5,decision,0.09182941924871932
5,strategy,0.09106334253095683
5,autobiographical_memory,0.08965376023626292
5,pain,0.08919706541659093
5,cognitive,0.08906763757570965
5,goal,0.08799158652805569
5,expectancy,0.08789453510436718
5,response_selection,0.08638064708695364
5,remembering,0.08592464753074414
5,context,0.08585033319630536
5,retrieval,0.08366708063022787
5,emotion,0.08342929386231607
5,interoception,0.08172246128069308
5,reward_processing,0.08154926992106436
6,motor_control,0.08899068024501751
6,ataxia,0.08443307802821011
6,motor_learning,0.07591616607148596
6,movement,0.07227918014607757
6,rest,0.0619403623083896
6,coordination,0.060823605957560284
6,tone_monitordiscrimination,0.06018893679861954
6,recitationrepetition,0.06018893679861954
6,arm,0.060120457190364955
6,foot,0.05870626167729619
6,execution,0.055928587488210155
6,episodic_future_thinking,0.053176006207066466
6,vection,0.052501522877799106
6,capsaicinevoked_pain,0.051441899509806405
6,tapping_task,0.050790382699571174
6,leg,0.04976160589712937
6,motor_sequence_learning,0.04801852995869728
6,sequence_learning,0.044543125249408566
6,imagination,0.04435532414048285
6,articulatory_rehearsal,0.0432181202403011
6,vestibular,0.04233624517392212
6,manual_tracking,0.04171120952625399
6,mixed_gamble_task,0.04082030655967029
6,episodic_simulation,0.039857221757348765
6,music_production,0.03971573424064623
7,autonomic_nervous_system_function,0.07730192645962644
7,vection,0.0745157915867633
7,vestibular,0.061719443032955734
7,vestibular_stimulation,0.05819483126783241
7,smile_response,0.05457911156839415
7,episodic_recombination_paradigm,0.05457911156839361
7,vestibular_control,0.04584998809495831
7,hypercapnia,0.04360655545968103
7,motor_learning,0.04315543532548849
7,acupuncture,0.04187536822576809
7,reentrant_processing,0.040230465773889355
7,breathholding,0.04014634967505056
7,heat,0.040064884926320765
7,foot,0.03826911443004932
7,capsaicinevoked_pain,0.03814306848653083
7,visuospatial_sketch_pad,0.03798682169933712
7,drawing_paradigm,0.037720483303792234
7,pain,0.03689494994056282
7,ataxia,0.03684663122227272
7,rest_eye_open,0.03657975765741419
7,leg,0.036375267141157575
7,circadian_rhythm,0.03513867220494997
7,coordination,0.03051354674105163
7,episodic_simulation,0.030459305623783597
7,forward_digit_span_task,0.03008597050107657
8,face_perception,0.1438814410017193
8,recognition,0.14042510309090206
8,vision,0.13929710793513683
8,object_recognition,0.13234871855638464
8,familiarity,0.13086429447373008
8,visual_perception,0.12521243028233994
8,retrieval,0.12472368919640783
8,visual_attention,0.12156774293757003
8,visual_angle,0.11522830670232964
8,memory,0.11088317900291228
8,visual_object,0.11069504406368316
8,remembering,0.10988718916761422
8,eye,0.10853400020334467
8,visual_imagery,0.1068085409026454
8,picture,0.10679068271028627
8,covert,0.1064804880055899
8,word,0.10414189238732113
8,shape,0.10317243795152828
8,reading,0.10260525947149662
8,face,0.10191620078766282
8,spatial_attention,0.10181978699170767
8,encoding,0.1016416311589505
8,recognition_memory,0.10077843935083428
8,visual_motion,0.09876428980914023
8,naming,0.09691698039761593
9,motor_control,0.07707240678770527
9,music_comprehension_production,0.06689074816173073
9,music_comprehensionproduction,0.06689074816173073
9,olfactory_monitoringdiscrimination,0.06689074816173073
9,fluency_induction,0.06689074816172991
9,motor_learning,0.06255100558708684
9,movement,0.06252042312983414
9,coordination,0.06054047813930692
9,execution,0.05992045202190996
9,tapping_task,0.05887562403638559
9,rehearsal,0.05555388571406321
9,compensatory_tracking_task,0.05344303907108515
9,arm,0.052996708180933175
9,dualtask_paradigm,0.05064833418195003
9,motor_planning,0.04964745038905567
9,phonological_loop,0.04833067162768391
9,articulatory_rehearsal,0.04715063537817152
9,verbal_working_memory_task,0.04702909681478525
9,motor_activity,0.04594072570356096
9,planning,0.045936723438481285
9,vection,0.04571552693521744
9,foot,0.04549426647721344
9,divided_attention,0.04430617305784908
9,skill,0.04326219608870964
9,hand,0.04312589049660872
10,speech,0.22114509960862044
10,language,0.20961013114893978
10,speech_processing,0.19630236613695917
10,language_processing,0.19469666109013029
10,listening,0.19088129664307169
10,speech_perception,0.18945025879195537
10,hearing,0.18270808643998557
10,semantic_processing,0.17692182544731766
10,word,0.16335807955122583
10,language_comprehension,0.16135079855067333
10,syllable,0.15603560191857274
10,semantics,0.15441935572730947
10,sentence_processing,0.14283309747970824
10,meaning,0.13676506796384283
10,speech_production,0.13672841664228602
10,sentence_comprehension,0.13575116303304152
10,prosody,0.13466942172234272
10,syntax,0.1329131227921287
10,semantic_information,0.1323796516129901
10,theory_mind,0.13210917647647408
10,narrative,0.13158242085782956
10,phonology,0.12662817049073977
10,passive_listening,0.12133440330386977
10,semantic_knowledge,0.11863578191810611
10,music,0.11721037501538223
11,reward,0.2872570639336378
11,reward_processing,0.23122866273953468
11,reward_anticipation,0.22594694348306477
11,anticipation,0.18959594415020395
