CLUSTER,TOKEN,R
1,hearing,0.20648641119913982
1,listening,0.19448911166526564
1,speech,0.19405172554904354
1,speech_perception,0.17442842305383882
1,speech_processing,0.17030074954268296
1,tone,0.16509580556813097
1,music,0.15123659179943758
1,melody,0.14422933202069518
1,passive_listening,0.14110546191105477
1,auditory_perception,0.13271181575222185
1,speech_production,0.12442935047181429
1,audition,0.12370150767906246
1,syllable,0.11664613418530119
1,painful_stimulation,0.11152259930512809
1,intonation,0.10944352571288654
1,pain,0.1091503243058924
1,prosody,0.10741121472954313
1,pitch_discrimination,0.10518490270743465
1,heat,0.10510539026208932
1,auditory_feedback,0.10449187714691287
1,perception,0.10128660344474383
1,language,0.10097159071658382
1,multisensory,0.09975952094005422
1,noise,0.09513502423221912
1,articulation,0.09463676687908848
2,recognition,0.14784553175873508
2,face_perception,0.14776418230308105
2,familiarity,0.13963674528340472
2,vision,0.13616896494396197
2,object_recognition,0.1348711656214491
2,retrieval,0.13375043754949656
2,visual_perception,0.12232781607421694
2,memory,0.11951591871385636
2,remembering,0.11662269702768699
2,word,0.11592843463089687
2,visual_attention,0.11532509243287975
2,picture,0.11455921944896069
2,visual_object,0.1137174439736639
2,visual_angle,0.11064102635374529
2,recognition_memory,0.10908896936492116
2,reading,0.10885952454179348
2,semantic_processing,0.10710928793538796
2,encoding,0.10708358534458044
2,visual_imagery,0.10667376050060953
2,naming,0.10615801280096095
2,face,0.10585200176766354
2,covert,0.10269983361717472
2,eye,0.10087063018870152
2,shape,0.10010779481508614
2,judgment,0.09973944830233221
3,motor_control,0.15570261875656016
3,movement,0.13272752231270796
3,motor_learning,0.12450805083763714
3,execution,0.12041997961614699
3,coordination,0.09955260447004588
3,motor_sequence_learning,0.09699204947432921
3,arm,0.09460301370576235
3,hand,0.08558095978935369
3,ataxia,0.08349788748119029
3,tapping_task,0.08176083217017406
3,motor_planning,0.08077644906492032
3,rest,0.07924655744783587
3,skill_acquisition,0.07537683127835168
3,motor_activity,0.07372935502917419
3,finger_tapping,0.0733060070832562
3,imagination,0.0724252554040876
3,skill,0.07132754719847864
3,planning,0.06991957682150593
3,imagery,0.0674159678234442
3,foot,0.06615533342586205
3,sequence_learning,0.0651841428493253
3,articulatory_rehearsal,0.06459031592163265
3,rehearsal,0.06426256328943383
3,auditory_feedback,0.06215521505021672
3,motor_program,0.06121468603978379
4,arousal,0.12966601149022608
4,monitoring,0.12717472351606215
4,anticipation,0.11453282067920684
4,decision_making,0.11257109977940233
4,reward,0.10809348989456204
4,valence,0.1077573533990487
4,salience,0.09786048908782383
4,cognitive_control,0.09765112341370764
4,error_detection,0.0957758962230939
4,pain,0.09325700472940213
4,autobiographical_memory,0.09144951037079452
4,reaction_time,0.09110205834408469
4,emotion,0.09036344262174183
4,cognitive_process,0.09004043811835205
4,expectancy,0.08888028743183146
4,strategy,0.08843313854272408
4,context,0.0868709111575687
4,cognitive,0.08548167721079243
4,remembering,0.08538739090636197
4,decision,0.08530245790075691
4,goal,0.08479616645517801
4,interoception,0.08321728506105457
4,retrieval,0.08189785057143328
4,response_selection,0.08182881522005213
4,reward_processing,0.08061445961892942
5,speech,0.2458385142274364
5,speech_processing,0.218987795744512
5,speech_perception,0.2177214433509234
