CLUSTER,TOKEN,R
1,reward,0.17451434696216328
1,valence,0.15366657938948605
1,emotion,0.1438880240037036
1,arousal,0.142250179778996
1,memory,0.14067531580779205
1,reward_processing,0.13692127480697658
1,fear,0.13489165140651063
1,anticipation,0.1259300146510984
1,declarative_memory,0.12543787437248513
1,reward_anticipation,0.12208716251021559
1,episodic_memory,0.11545167611185755
1,remembering,0.11431149130813179
1,emotional_memory,0.11289858025462754
1,facial_expression,0.10955574427492829
1,recognition_memory,0.10716772181048789
1,autobiographical_memory,0.10685705039844517
1,salience,0.10569655845687281
1,episodic_simulation,0.10564756177257209
1,monetary_incentive_delay_task,0.1008602738988851
1,negative_emotion,0.10020698499849287
1,picture,0.09950776047026136
1,source_memory,0.09513237563734814
1,recall,0.09488365594781051
1,taste,0.09344025316606164
1,encoding,0.09303109467504435
2,manipulation,0.11495065243102956
2,retrieval,0.1090681912749323
2,word,0.10798264341994193
2,covert,0.10734243008431407
2,language,0.10527051994382128
2,monitoring,0.09924711130144229
2,rehearsal,0.09875631842793234
2,semantic_processing,0.09789782826685872
2,cognitive_process,0.09647242291027733
2,strategy,0.09621223715956377
2,reaction_time,0.09608572559237706
2,goal,0.09600148251466725
2,context,0.09505988076384264
2,meaning,0.09463554911940625
2,memory,0.09437976691175068
2,attention,0.0920947927908295
2,familiarity,0.09188666353254821
2,remembering,0.09179178668537524
2,judgment,0.09167542953573012
2,language_processing,0.0916124639925154
2,execution,0.08948504058181544
2,reading,0.08927844279588179
2,representation,0.08811761331085413
2,semantics,0.08779932527871695
2,imagination,0.08768802993263747
3,motor_control,0.14899264763866113
3,movement,0.125882312942161
3,motor_learning,0.12338012115558214
3,execution,0.11088863786278166
3,coordination,0.10156439481629093
3,ataxia,0.09421521930374284
3,arm,0.09217694088377215
3,motor_sequence_learning,0.09176112556903507
3,tapping_task,0.08433082557928376
3,rest,0.08151106493050478
3,foot,0.07717521896996721
3,hand,0.07717206098874921
3,motor_activity,0.07264326891549762
3,motor_planning,0.07183533865317385
3,finger_tapping,0.0707514066385089
3,skill_acquisition,0.07074067492015199
3,articulatory_rehearsal,0.07061676880676858
3,imagination,0.06913748399340287
3,phonological_loop,0.06503269296735113
3,planning,0.06498572951878344
3,skill,0.06443854248202549
3,capsaicinevoked_pain,0.06385444980157326
3,sequence_learning,0.06325703504792718
3,leg,0.06172721583655118
3,imagery,0.05912046767187834
