CLUSTER,TOKEN,R
1,recognition,0.14784553175873508
1,face_perception,0.14776418230308105
1,familiarity,0.13963674528340472
1,vision,0.13616896494396197
1,object_recognition,0.1348711656214491
1,retrieval,0.13375043754949656
1,visual_perception,0.12232781607421694
1,memory,0.11951591871385636
1,remembering,0.11662269702768699
1,word,0.11592843463089687
1,visual_attention,0.11532509243287975
1,picture,0.11455921944896069
1,visual_object,0.1137174439736639
1,visual_angle,0.11064102635374529
1,recognition_memory,0.10908896936492116
1,reading,0.10885952454179348
1,semantic_processing,0.10710928793538796
1,encoding,0.10708358534458044
1,visual_imagery,0.10667376050060953
1,naming,0.10615801280096095
1,face,0.10585200176766354
1,covert,0.10269983361717472
1,eye,0.10087063018870152
1,shape,0.10010779481508614
1,judgment,0.09973944830233221
2,speech,0.21674111046402558
2,hearing,0.20715159416708379
2,listening,0.20463946096128777
2,speech_perception,0.19411285574710835
2,speech_processing,0.1869729100495462
2,tone,0.1639866015335682
2,language,0.15308397692270914
2,syllable,0.15090743289626585
2,speech_production,0.14808026281691242
2,music,0.1469508873360831
2,passive_listening,0.14289535286815316
2,melody,0.1369728584207126
2,language_processing,0.13222323164326538
2,auditory_perception,0.13103811322655015
2,prosody,0.11642389885069385
2,intonation,0.11462117406267469
2,articulation,0.11383728864433719
2,audition,0.11139552235050362
2,pitch_discrimination,0.11119861502717332
2,auditory_feedback,0.10829565364731006
2,word,0.10601901548875317
2,semantic_processing,0.10287306060739722
2,phonetics,0.09865787295048739
2,perception,0.0983908794119967
2,language_comprehension,0.09783905285522664
3,reward,0.2872570639336378
3,reward_processing,0.23122866273953468
3,reward_anticipation,0.22594694348306477
3,anticipation,0.18959594415020395
3,monetary_incentive_delay_task,0.1882390544649352
3,instrumental_conditioning,0.14984105654528865
3,reward_learning,0.13944570505058768
3,feedback,0.13525732084082925
3,reinforcement_learning,0.13355719805871813
3,expectancy,0.12882358684091383
3,decision_making,0.12128655892834131
3,loss_anticipation,0.11565715300854887
3,addiction,0.11492891616510947
3,gambling,0.10907267030711124
3,taste,0.10718168394076556
