CLUSTER,TOKEN,R
1,speech,0.24905998012190028
1,hearing,0.23890185415456547
1,listening,0.233502212161118
1,speech_perception,0.2227765484452818
1,speech_processing,0.22033783814597518
1,tone,0.1749580250300983
1,language,0.1730764782790849
1,music,0.16609967556831218
1,syllable,0.16174239072677155
1,passive_listening,0.16071214105046522
1,language_processing,0.1580191955456942
1,speech_production,0.15566107628785686
1,melody,0.15395029438393487
1,auditory_perception,0.1524504709770138
1,prosody,0.14176191459966483
1,intonation,0.13498729090649858
1,audition,0.12828733640522394
1,pitch_discrimination,0.12506064311097836
1,language_comprehension,0.1237335274834145
1,articulation,0.11620870062102233
1,semantic_processing,0.11398474331187461
1,word,0.11355400594776464
1,phonetics,0.11192134430404543
1,syntax,0.11000792519791833
1,semantics,0.10786926021808221
2,execution,0.13485251561062633
2,covert,0.1277754038289833
2,manipulation,0.12505667005208088
2,vision,0.12372612516499426
2,spatial_attention,0.123598315670674
2,representation,0.12013895533283579
2,visual_attention,0.11838365297241957
2,retrieval,0.11415165208859472
2,attention,0.11405863757560848
2,eye,0.11252200727112865
2,reaction_time,0.11142297921418479
2,grasping,0.10905643302809356
2,strategy,0.10630462598066237
2,hand,0.10628648445257713
2,rehearsal,0.10329368295676411
2,visual_imagery,0.10292057600102991
2,imagery,0.10285439492698559
2,action,0.10247847728302822
2,familiarity,0.10168621363757681
2,goal,0.09931237375278433
2,memory,0.0983429589119415
2,imagination,0.09749814232219663
2,visual_angle,0.09660222036419276
2,intention,0.09576171598946026
2,grasp,0.09508932457139625
3,motor_control,0.1165704985280106
3,ataxia,0.09688244751818939
3,motor_learning,0.09530643720485027
3,movement,0.08926773135652191
3,coordination,0.08427897530152176
3,execution,0.07722669052278841
3,arm,0.07459079573604147
3,foot,0.07230638410005011
3,rest,0.07153863219763863
3,tapping_task,0.06972037939585986
3,motor_sequence_learning,0.06756888972652672
3,vection,0.06732718041721618
3,articulatory_rehearsal,0.06605264713908705
3,capsaicinevoked_pain,0.06424992279361556
3,leg,0.06183487659367675
3,skill_acquisition,0.0608410232852921
3,phonological_loop,0.059796384871236334
3,motor_activity,0.05857591876348657
3,tone_monitordiscrimination,0.05816804361888442
3,recitationrepetition,0.05816804361888442
3,vestibular,0.05522824202979399
3,imagination,0.055090005012430124
3,finger_tapping,0.05494916509099461
3,vestibular_stimulation,0.051559454516675846
3,planning,0.05116835994263043
4,reward,0.26953599060380995
4,reward_processing,0.215336201614851
4,reward_anticipation,0.20080234679984016
4,anticipation,0.1494180807277698
4,decision_making,0.14845487577147048
4,reward_learning,0.13825570969598616
4,valence,0.1359051973742492
4,monetary_incentive_delay_task,0.1298176553374385
4,expectancy,0.12017851703474136
4,instrumental_conditioning,0.11651807358660156
4,salience,0.11447419395654392
4,addiction,0.11220312202008996
4,arousal,0.10925371869111837
4,reinforcement_learning,0.10548212015684116
4,taste,0.10370120817276281
4,gambling,0.10269616751062713
4,intertemporal_choice,0.10189711584111955
4,loss,0.09990564331151472
4,loss_aversion,0.09626718464503936
4,loss_anticipation,0.09364790549047132
4,anhedonia,0.08882337711888127
4,food,0.08841089306972344
4,emotion,0.0876924685952361
4,autobiographical_memory,0.08652013995207788
4,feedback,0.0860919014193946
5,memory,0.19305690471098708
5,episodic_memory,0.16902637658184183
5,declarative_memory,0.16525775672865886
5,recognition_memory,0.16061167764940648
5,remembering,0.1575572259559967
5,emotion,0.14571273958405362
5,recognition,0.14548535199392842
5,retrieval,0.14305198396262023
5,fear,0.14042580585614722
5,encoding,0.13867173681178313
5,emotional_memory,0.1367534437387493
5,picture,0.13489906970511267
5,recall,0.12894139943605046
5,facial_expression,0.12556821527581283
5,source_memory,0.1251381662877043
5,familiarity,0.12491607259828591
5,valence,0.12320815756181538
5,autobiographical_memory,0.12253931288674844
5,face,0.12042774669659306
5,episodic_simulation,0.120133213040513
5,memory_process,0.11946169628640638
5,encoding_task,0.11938977401868561
5,arousal,0.11558450425615263
5,forgetting,0.11142240193901726
5,semantic_memory,0.10413480418085028
6,reward,0.13135267415165064
6,anticipation,0.12797356492063658
6,monitoring,0.12394997287126674
6,arousal,0.11658770599790234
6,decision_making,0.11346974145725316
6,cognitive_control,0.10312569916788702
6,reaction_time,0.10125474305318975
6,reward_processing,0.10088431817179783
6,error_detection,0.09769281417891626
6,valence,0.09754760205486576
6,expectancy,0.09613550741258185
6,salience,0.09374981977042877
6,strategy,0.09081377696722673
6,reward_anticipation,0.08897574974975142
6,response_selection,0.08778562467048412
6,context,0.08762500860284164
6,goal,0.08655154910722336
6,decision,0.08649225368460736
6,pain,0.08302102096520633
6,cognitive_process,0.08208242464690071
6,manipulation,0.08018985567156373
6,performance_monitoring,0.07903767651388315
6,cognitive,0.07646608800616349
6,retrieval,0.07629489403852219
6,feedback,0.07614799979418317
